id,image,time,initial_time,pitch,yaw,roll,pitchs,yawns,tag
1,/images/image1.jpg,2019-07-21T23:31:23.712000,2019-07-21T23:31:23.068000,-0.8231576430587992,-2.2517736713823435,-3.2977915275863476,0,0,dormido
2,/images/image2.jpg,2019-07-21T23:31:23.901000,2019-07-21T23:31:23.068000,2.3692608229175396,-2.475782274111244,-3.1838433473475005,0,0,dormido
3,/images/image3.jpg,2019-07-21T23:31:24.138000,2019-07-21T23:31:23.068000,2.628264338984387,-2.748706178012429,-3.2973399443529807,0,0,dormido
4,/images/image4.jpg,2019-07-21T23:31:23.068000,2019-07-21T23:31:23.068000,-2.992735377569952,-3.2983651959803617,-3.1206699550711474,0,0,dormido
5,/images/image5.jpg,2019-07-21T23:31:23.327000,2019-07-21T23:31:23.068000,-2.3265871623041696,-4.130869346807527,-3.623479979539977,0,0,dormido
6,/images/image6.jpg,2019-07-21T23:31:23.484000,2019-07-21T23:31:23.068000,-2.1206886029773844,-3.2129322318937192,-3.314433866992616,0,0,dormido
7,/images/image7.jpg,2019-08-09T19:54:50.094000,2019-08-09T19:54:49.683000,14.791630623093804,2.9065534702969424,2.147155390388347,0,0,dormido
8,/images/image8.jpg,2019-08-09T19:54:50.160000,2019-08-09T19:54:49.683000,13.72950884945291,1.2806769030420313,1.1321861880326651,0,0,dormido
9,/images/image9.jpg,2019-08-09T19:54:50.188000,2019-08-09T19:54:49.683000,14.069018659169364,0.7148596490367,1.4065254907590539,0,0,dormido
10,/images/image10.jpg,2019-08-09T19:54:49.683000,2019-08-09T19:54:49.683000,14.119638772107642,2.1763699447825435,1.7721532819609007,0,0,dormido
11,/images/image11.jpg,2019-08-09T19:54:49.718000,2019-08-09T19:54:49.683000,14.240175752292007,3.870707236010243,1.9021705329224659,0,0,dormido
12,/images/image12.jpg,2019-08-09T19:54:49.753000,2019-08-09T19:54:49.683000,14.51862433563659,1.0686052441551483,2.047256711147175,0,0,dormido
13,/images/image13.jpg,2019-08-09T19:54:49.804000,2019-08-09T19:54:49.683000,13.942483182076389,2.328185156614559,1.900605774690425,0,0,dormido
14,/images/image14.jpg,2019-08-09T19:54:49.842000,2019-08-09T19:54:49.683000,14.241488484345115,3.116629260682726,1.8334752660086888,0,0,dormido
15,/images/image15.jpg,2019-08-09T19:54:49.877000,2019-08-09T19:54:49.683000,14.888820663113798,3.7004009776763875,1.9407123315730597,0,0,dormido
16,/images/image16.jpg,2019-08-09T19:54:49.683000,2019-08-09T19:54:49.683000,14.119638772107642,2.1763699447825435,1.7721532819609007,0,0,dormido
17,/images/image17.jpg,2019-08-09T19:54:49.718000,2019-08-09T19:54:49.683000,14.240175752292007,3.870707236010243,1.9021705329224659,0,0,dormido
